param_name,param_value,instance,avg_runtime,std_runtime,avg_solution_quality,std_solution_quality,runtime_dvt,solution_quality_dvt
BASELINE,DEFAULT,RC207_co_25.txt,1.998258,0.6163086500853286,253.7274,1.6927091598972375,0.0,0.0
BASELINE,DEFAULT,C107_co_25.txt,1.5152079999999999,0.21154005760139144,208.9818,2.4692677457092387,0.0,0.0
BASELINE,DEFAULT,C203_co_25.txt,1.358424,0.049707298558662426,146.856,0.0,0.0,0.0
BASELINE,DEFAULT,R206_co_25.txt,1.369816,0.27454090046840013,194.6694,2.597133573769363,0.0,0.0
BASELINE,DEFAULT,RC201_co_25.txt,1.223988,0.08558189364579401,270.767,0.0,0.0,0.0
m,1,RC207_co_25.txt,0.759322,0.2715794732974125,254.0808,3.304461257149194,-62.00080269915096,0.13928334109758028
m,1,C107_co_25.txt,0.660582,0.12160245742377082,212.1344,3.5428618798931506,-56.40321328820861,1.5085524193972906
m,1,C203_co_25.txt,0.6116478,0.05172721116298461,146.856,0.0,-54.973719545591074,0.0
m,1,R206_co_25.txt,0.798165,0.22382515506193665,194.715,2.6261785925561174,-41.731955240703854,0.02342432863100591
m,1,RC201_co_25.txt,0.6022912,0.09505080142849927,270.767,0.0,-50.79272019006722,0.0
m,3,RC207_co_25.txt,1.998258,0.6163086500853286,253.7274,1.6927091598972375,0.0,0.0
m,3,C107_co_25.txt,1.5152079999999999,0.21154005760139144,208.9818,2.4692677457092387,0.0,0.0
m,3,C203_co_25.txt,1.358424,0.049707298558662426,146.856,0.0,0.0,0.0
m,3,R206_co_25.txt,1.369816,0.27454090046840013,194.6694,2.597133573769363,0.0,0.0
m,3,RC201_co_25.txt,1.223988,0.08558189364579401,270.767,0.0,0.0,0.0
m,6,RC207_co_25.txt,3.294428,0.9051063157276055,252.603,0.0,64.86499741274649,-0.4431527694683271
m,6,C107_co_25.txt,4.087056,1.4426324162204314,207.443,2.1577671329409065,169.73564025533128,-0.7363320633662743
m,6,C203_co_25.txt,2.652914,0.048789953166610105,146.856,0.0,95.29351660453584,0.0
m,6,R206_co_25.txt,2.358052,0.08398711490460913,196.6802,0.7438072330920178,72.14370397192032,1.0329307020004261
m,6,RC201_co_25.txt,2.36304,0.08071000154875474,270.767,0.0,93.06071628153214,0.0
m,8,RC207_co_25.txt,4.344508,0.7839752321789252,252.8176,0.8284985214229429,117.41476826315721,-0.35857380795294086
