param_name,param_value,avg_runtime_dvt,avg_solution_quality_dvt,num_instances
m,1,-53.18048219274434,0.33425201782517533,5
m,3,0.0,0.0,5
m,6,99.0197149052132,-0.029310826166835058,5
m,8,157.30188961900137,-0.24166711307660182,5
m,10,217.06557080899458,-0.17994809980788995,5
I,5,-68.00103080849138,0.5983253716705174,5
I,10,-36.613442383115064,0.5331692322831426,5
I,15,0.0,0.0,5
I,20,45.72169117484725,0.2339304265618623,5
I,25,76.51925064158907,-0.05942487781333735,5
alpha,0.75,87.0969927080318,-0.12165126836609161,5
alpha,1.0,16.685234653224647,-0.1322972376421689,5
alpha,1.25,1.6466343888446824,0.2738975118065014,5
alpha,1.5,-6.369649954448523,1.0700362492024649,5
alpha,1.75,-9.855844739076112,0.8779704827134845,5
beta,0.75,2.2649376214023853,-0.002959149033573105,5
beta,1.0,6.084070305457901,0.0805953079941727,5
beta,1.25,3.7199100325249255,0.29901560844761027,5
beta,1.5,2.1977530411677377,0.23581675280621017,5
beta,1.75,-2.226873620061227,0.10054113209589315,5
rho,0.2,58.8331228425741,-0.2626270660240898,5
rho,0.35000000000000003,26.558104827320733,-0.2879803341106649,5
rho,0.5,7.533522296277161,0.1828556051240608,5
rho,0.6500000000000001,10.458574138592995,-0.10676468857937654,5
rho,0.8,-2.1157827967979532,0.3792173071055117,5
Q,1.0,14.182425526623629,-0.053919178176940155,5
Q,1.5,-0.20690835888957948,0.12536302575228447,5
Q,2.0,-1.9416843720537893,0.15324253796839227,5
Q,2.5,-0.565891072203198,0.5206799900852705,5
Q,3.0,5.919719680668189,0.17979530804831892,5
LS,10,6.702067114848332,0.40543679816599054,5
LS,30,2.610797072750931,0.3209396493156099,5
LS,50,0.0,0.0,5
LS,70,10.549688768538251,0.10396967621419702,5
LS,90,5.762226003682305,0.11377562120540033,5
t,20,-1.150758951220578,0.04958307297463672,5
t,30,7.431220583765157,-0.06270029905906706,5
t,40,0.9209345731060237,0.40609659376967616,5
t,50,0.0,0.0,5
t,60,7.26420133061695,0.10414426951821347,5
