thread_count,m,avg_runtime,std_runtime,avg_solution_quality,std_solution_quality,speedup,efficiency,instance
1,1920,283.35333333333335,69.99700555261867,367.77233333333334,11.9434387566284,1.0,1.0,C101_co_50.txt
8,240,40.02653333333333,1.2701358877432496,359.776,3.2512268453615927,7.079137505454716,0.8848921881818395,C101_co_50.txt
16,120,25.82283333333333,5.065213796409124,376.76,16.484581523350865,10.972976112871685,0.6858110070544803,C101_co_50.txt
32,60,21.6624,1.016482478943931,362.284,7.369114397266476,13.080421990792033,0.408763187212251,C101_co_50.txt
64,30,18.829466666666665,4.461800575253597,365.70233333333334,8.389353034253192,15.048399317381978,0.2351312393340934,C101_co_50.txt
