param_name,param_value,instance,avg_runtime,std_runtime,avg_solution_quality,std_solution_quality,runtime_dvt,solution_quality_dvt
BASELINE,DEFAULT,RC101_co_50.txt,24.896433333333334,4.333320806648562,361.4456666666667,3.3416711886918793,0.0,0.0
BASELINE,DEFAULT,RC208_co_50.txt,25.177833333333332,5.963693573896408,358.60633333333334,0.46918795096779115,0.0,0.0
BASELINE,DEFAULT,R209_co_50.txt,27.057733333333335,5.489072993988451,363.68666666666667,10.081690400589238,0.0,0.0
m,10,RC101_co_50.txt,7.58419,1.7385195659238355,369.63,11.254248042406035,-69.5370421198217,2.2643329518406126
m,10,RC208_co_50.txt,9.29621,3.1650796067871654,361.7046666666667,6.5918422564055135,-63.07779991659329,0.8639929207422505
m,10,R209_co_50.txt,8.432196666666666,0.5793932870109332,379.07866666666666,22.003062726205503,-68.8362784761473,4.232214543654793
m,20,RC101_co_50.txt,19.385233333333332,4.638152409455011,358.3813333333333,0.6295334251120912,-22.136504157891434,-0.8477991620686279
m,20,RC208_co_50.txt,16.8637,4.757443158882721,364.512,6.347048211570484,-33.0216394050322,1.6468383622152039
m,20,R209_co_50.txt,21.303733333333334,1.3563069945013673,365.403,4.285242466885621,-21.265639398225034,0.4719263835169521
m,30,RC101_co_50.txt,24.896433333333334,4.333320806648562,361.4456666666667,3.3416711886918793,0.0,0.0
m,30,RC208_co_50.txt,25.177833333333332,5.963693573896408,358.60633333333334,0.46918795096779115,0.0,0.0
m,30,R209_co_50.txt,27.057733333333335,5.489072993988451,363.68666666666667,10.081690400589238,0.0,0.0
m,40,RC101_co_50.txt,32.176100000000005,3.8296522466145673,359.3123333333333,2.5051228180137852,29.23979740069864,-0.5902224124050132
m,40,RC208_co_50.txt,33.37746666666666,5.7604041197934475,365.0683333333333,12.47480726638026,32.56687430080692,1.8019759829488016
m,40,R209_co_50.txt,30.046666666666667,0.48008603742801415,359.07599999999996,1.8183154291816277,11.046503033020745,-1.267757960148856
m,50,RC101_co_50.txt,38.295433333333335,9.377876434104541,362.82166666666666,6.969615938725275,53.818953986715634,0.3806934560012182
m,50,RC208_co_50.txt,40.34303333333333,5.547249967626602,362.83166666666665,0.43298652788895686,60.23234723665658,1.1782651170875336
m,50,R209_co_50.txt,33.64083333333333,0.2736337942092203,372.36533333333335,11.859962745866143,24.329828071333882,2.386303228053458
I,3,RC101_co_50.txt,7.0376,3.7905182333686245,567.0936666666666,358.11544525799684,-71.73249715822749,56.895964999810936
I,3,RC208_co_50.txt,3.4516533333333332,3.0425956038279773,812.1683333333333,381.8968051166877,-86.29090403595757,126.47908244788388
I,3,R209_co_50.txt,5.777606666666666,3.013322278189529,596.8276666666667,364.3286824837338,-78.64711505767914,64.1049071545103
I,5,RC101_co_50.txt,13.175333333333334,2.228690831706662,370.46366666666665,16.437920316552624,-47.07943440358927,2.494980803938251
I,5,RC208_co_50.txt,15.478766666666667,0.5391097878292819,378.10133333333334,24.78784979245545,-38.522245096546555,5.4363233964077615
I,5,R209_co_50.txt,12.962466666666666,2.317565449633156,361.25600000000003,2.1700062211892264,-52.093301730127685,-0.6683408795116599
I,10,RC101_co_50.txt,24.896433333333334,4.333320806648562,361.4456666666667,3.3416711886918793,0.0,0.0
I,10,RC208_co_50.txt,25.177833333333332,5.963693573896408,358.60633333333334,0.46918795096779115,0.0,0.0
I,10,R209_co_50.txt,27.057733333333335,5.489072993988451,363.68666666666667,10.081690400589238,0.0,0.0
I,15,RC101_co_50.txt,39.12016666666667,11.80278570267771,370.79200000000003,21.343211824840242,57.13161055198,2.58581972209747
I,15,RC208_co_50.txt,34.029333333333334,6.631595262328163,362.867,0.4926134387123423,35.15592419257681,1.188118075624249
