param_name,param_value,runtime_dvt,cost_dvt,num_instances
m,10,-67.15037350418743,2.453513472079219,3
m,20,-25.474594320382888,0.42365519455450934,3
m,30,0.0,0.0,3
m,40,24.284391578175438,-0.018668129868355865,3
m,50,46.12704309823536,1.3150872670474034,3
I,3,-78.89017208395474,82.49331820073505,3
I,5,-45.898327076754505,2.4209877736114507,3
I,10,0.0,0.0,3
I,15,40.341247748956796,0.7616729216181978,3
I,20,89.41209952243548,0.003962380193749518,3
alpha,0.75,137.88691243604643,1.78601485571927,3
alpha,1.0,34.5879880458164,-0.8164144646565784,3
alpha,1.25,0.0,0.0,3
alpha,1.5,-15.426649595856297,5.046219270580688,3
alpha,1.75,-14.46456247756525,4.2929386295935945,3
beta,0.75,0.7188592620733917,1.44442668334096,3
beta,1.0,0.0,0.0,3
beta,1.25,0.3326463235581277,-0.22648938361131551,3
beta,1.5,-2.961860720044696,0.908408735384637,3
beta,1.75,6.285263711727225,0.6538916368516232,3
rho,0.2,43.28026383802177,-0.3200378220602834,3
rho,0.4,7.599753252126969,-0.07051477351849322,3
rho,0.6,4.421197491092113,2.940008538472094,3
rho,0.8,-11.408871081605694,3.1893737640454485,3
Q,1.0,-8.197148013466284,0.1574502451932479,3
Q,1.5,-7.864201730775405,0.8753031750893917,3
Q,2.0,0.0,0.0,3
Q,2.5,12.030362445156621,1.1922401212533125,3
Q,3.0,-3.7288455157088545,1.2264599675082826,3
LS,10,7.549216900941943,0.9812118629508105,3
LS,30,4.215433507391772,0.9402113832541901,3
LS,50,0.0,0.0,3
LS,70,5.701618228138931,1.8458194688570904,3
LS,90,5.001381094738209,0.1654191123256086,3
t,20,-0.16259931163282296,2.5687443308304787,3
t,30,-7.906209684617786,0.9308993896818015,3
t,40,0.0,0.0,3
t,50,-3.8746440561939934,0.6533131416686263,3
t,60,-8.62767611901947,-0.15673543797329098,3
