thread_count,m,avg_runtime,std_runtime,avg_solution_quality,std_solution_quality,speedup,efficiency,instance
1,2560,2106.116666666667,358.8474826905344,880.899,33.67760557106163,1.0,1.0,C101_co_100.txt
8,320,349.80466666666666,49.737108624580635,877.34,29.533941372597074,6.020836390595132,0.7526045488243915,C101_co_100.txt
16,160,205.27233333333334,33.36251726613766,864.731,27.574190704352503,10.260109740393656,0.6412568587746035,C101_co_100.txt
32,80,115.82263333333333,18.330940205110412,884.043,38.81755401876833,18.183981887247715,0.5682494339764911,C101_co_100.txt
64,40,101.0381,13.00845788054833,856.0876666666667,18.649266804175763,20.844777036253323,0.32569964119145817,C101_co_100.txt
