param_name,param_value,runtime_dvt,cost_dvt,num_instances
m,10,-60.715184117649194,6.7912187207512105,3
m,30,-19.190406933072143,0.8688197633702315,3
m,50,0.0,0.0,3
m,70,36.44232644491224,0.6443789997123334,3
m,90,70.48776252572415,-0.5310764477337816,3
I,5,-44.50258384037083,104.47154271624639,3
I,10,0.0,0.0,3
I,15,39.247007429286406,2.4539808136519174,3
I,20,67.84339428840686,0.26798924201601193,3
alpha,0.75,113.63168209981625,63.45078223391141,3
alpha,1.0,83.94519671593639,2.205628580238786,3
alpha,1.25,0.0,0.0,3
alpha,1.5,6.619072573397437,1.6285323169313144,3
alpha,1.75,30.26349913542816,2.356396789661349,3
beta,0.75,4.161346965819636,1.5393955187301924,3
beta,1.0,0.0,0.0,3
beta,1.25,-1.7637241121107932,0.4295948777196338,3
beta,1.5,-3.065293939144141,-0.20884003278829644,3
beta,1.75,3.9460285400784705,0.795462396610249,3
rho,0.2,79.44202406049659,31.94831503933473,3
rho,0.4,20.20852810809056,-0.030431098552858155,3
rho,0.6,0.12464617143329455,-0.5036210936480356,3
rho,0.8,-18.777076536974775,2.194013228485834,3
Q,1.0,3.5713243442049167,0.419059991239772,3
Q,1.5,-1.213335450081181,-0.05273830219749818,3
Q,2.0,0.0,0.0,3
Q,2.5,-1.1318955095522139,0.5733374097605404,3
Q,3.0,1.0334368465549886,1.6071741891933486,3
LS,25,0.5287395829831283,-0.9254362673309202,3
LS,50,-3.3962637668273286,0.7040783914143464,3
LS,100,0.0,0.0,3
LS,150,-0.13144227597764577,-0.169451900140843,3
LS,200,6.178264606227942,0.09450098241167633,3
t,20,-8.917209391880169,0.3170361478938564,3
t,30,5.304604566322698,0.4473487065674841,3
t,40,0.0,0.0,3
t,50,11.675268011734712,-0.22328253440907816,3
t,60,17.726847446156587,-0.3209066672913711,3
