param_name,param_value,instance,avg_runtime,std_runtime,avg_solution_quality,std_solution_quality,runtime_dvt,solution_quality_dvt
BASELINE,DEFAULT,RC204_co_100.txt,84.84483333333333,7.150256253683032,873.5263333333334,40.65424002897276,0.0,0.0
BASELINE,DEFAULT,C207_co_100.txt,112.24733333333333,4.497276101523379,855.757,21.378942607154347,0.0,0.0
BASELINE,DEFAULT,RC102_co_100.txt,100.52953333333333,22.85223665865846,852.488,31.57862522340071,0.0,0.0
m,10,RC204_co_100.txt,32.642966666666666,5.543934899810182,952.3533333333334,70.5182692664343,-61.52627639868072,9.023998131710586
m,10,C207_co_100.txt,44.9153,12.491203195449192,910.5196666666667,15.403863032802281,-59.98541910424004,6.3993244188089315
m,10,RC102_co_100.txt,39.574600000000004,13.678378496371561,894.689,40.97965103560542,-60.633856850026824,4.950333611734113
m,30,RC204_co_100.txt,80.85563333333333,6.0804358275812165,873.604,36.35588083102921,-4.701759486435038,0.008891164891425175
m,30,C207_co_100.txt,71.0863,2.8249897468840444,861.3530000000001,20.729508170721274,-36.669943161233235,0.6539239527108884
m,30,RC102_co_100.txt,84.24423333333334,33.04931790012213,869.0573333333333,11.81888765211574,-16.199518151548162,1.9436441725083808
m,50,RC204_co_100.txt,84.84483333333333,7.150256253683032,873.5263333333334,40.65424002897276,0.0,0.0
m,50,C207_co_100.txt,112.24733333333333,4.497276101523379,855.757,21.378942607154347,0.0,0.0
m,50,RC102_co_100.txt,100.52953333333333,22.85223665865846,852.488,31.57862522340071,0.0,0.0
m,70,RC204_co_100.txt,129.349,7.544972034408085,885.9156666666667,16.811031090725297,52.45359666371356,1.4183125179588134
m,70,C207_co_100.txt,140.071,35.21675266119805,861.6513333333334,26.82809445960211,24.787819755183495,0.6887858741831393
m,70,RC102_co_100.txt,132.785,20.998872564973585,851.005,29.40122757641251,32.08556291583965,-0.17396139300495267
m,90,RC204_co_100.txt,157.4,8.369634101918676,880.437,32.26734121367922,85.51512663312833,0.7911228778067736
m,90,C207_co_100.txt,180.48999999999998,8.862973090334867,841.442,9.168308949855437,60.79669301720604,-1.672787952654777
m,90,RC102_co_100.txt,166.02599999999998,13.503212654772195,846.422,15.118259655132274,65.15146792683807,-0.7115642683533412
I,5,RC204_co_100.txt,56.936933333333336,40.25344505086904,1769.3193333333334,1552.690405002019,-32.89286913954689,102.54905499891436
I,5,C207_co_100.txt,78.88616666666667,8.131615149730914,871.6276666666666,17.57829301534521,-29.72112180838743,1.854576318588886
I,5,RC102_co_100.txt,29.260366666666666,30.06157592348301,2634.2816666666668,1497.9997387377387,-70.89376057317817,209.01099683123593
I,10,RC204_co_100.txt,84.84483333333333,7.150256253683032,873.5263333333334,40.65424002897276,0.0,0.0
I,10,C207_co_100.txt,112.24733333333333,4.497276101523379,855.757,21.378942607154347,0.0,0.0
I,10,RC102_co_100.txt,100.52953333333333,22.85223665865846,852.488,31.57862522340071,0.0,0.0
I,15,RC204_co_100.txt,141.31633333333335,16.95114351108307,869.7453333333333,23.960443951090145,66.55856082377834,-0.4328432762378157
I,15,C207_co_100.txt,121.36333333333333,18.385860663382964,889.1043333333333,24.854446409713752,8.121351064019338,3.896822735114452
I,15,RC102_co_100.txt,143.81866666666667,3.2577465115219444,885.7176666666667,15.617621212378454,43.061110400061544,3.897962982079116
I,20,RC204_co_100.txt,163.55066666666667,14.413891436157465,850.086,12.823271813386793,92.76443861244745,-2.683414619440972
I,20,C207_co_100.txt,161.25633333333334,14.20732773372013,874.121,33.69101926329923,43.66161631159762,2.1459362879882997
I,20,RC102_co_100.txt,167.989,23.071787447009825,863.9236666666667,27.74493150709393,67.10412794117549,1.341446057500708
alpha,0.75,RC204_co_100.txt,155.62466666666666,43.65826356296518,1457.7466666666667,31.383477075259425,83.42267944031163,66.88067789599168
alpha,0.75,C207_co_100.txt,208.71033333333332,13.651705290304694,1377.7033333333334,19.93588807485975,85.93789904437224,60.992353358877985
alpha,0.75,RC102_co_100.txt,272.9723333333333,40.866993531863024,1385.1166666666668,21.15687201202799,171.53446781476487,62.47931544686456
alpha,1.0,RC204_co_100.txt,186.80100000000002,44.01347944664225,886.9336666666667,50.95052484845796,120.16779650695686,1.534851649196608
alpha,1.0,C207_co_100.txt,192.61166666666668,71.24536139520477,862.721,26.98248111275167,71.59576174044226,0.8137824172048906
alpha,1.0,RC102_co_100.txt,160.91966666666667,58.19952110054973,888.8743333333333,35.6489762732864,60.07203190041004,4.268251674314858
alpha,1.25,RC204_co_100.txt,84.84483333333333,7.150256253683032,873.5263333333334,40.65424002897276,0.0,0.0
alpha,1.25,C207_co_100.txt,112.24733333333333,4.497276101523379,855.757,21.378942607154347,0.0,0.0
alpha,1.25,RC102_co_100.txt,100.52953333333333,22.85223665865846,852.488,31.57862522340071,0.0,0.0
alpha,1.5,RC204_co_100.txt,110.05906666666667,14.396683632466656,862.9826666666667,19.536913326657615,29.718053937678402,-1.2070233333931197
alpha,1.5,C207_co_100.txt,96.06343333333334,17.953240613976448,901.8676666666667,45.50575711196701,-14.418070807918223,5.388289744245937
alpha,1.5,RC102_co_100.txt,105.1109,10.512869048456755,858.4923333333334,10.766157407976806,4.557234590432133,0.7043305399411259
alpha,1.75,RC204_co_100.txt,120.90133333333333,5.126033294208428,891.9346666666667,13.326798427729523,42.49698960258826,2.107358717291099
alpha,1.75,C207_co_100.txt,147.426,14.282100090672945,880.1846666666667,14.690076287525986,31.340313949551874,2.854509710895349
